Date,value
7/31/1996,1905.424138
8/31/1996,1758.506897
9/30/1996,1659.665517
10/31/1996,1350.686207
11/30/1996,1366.475862
12/31/1996,1437.32069
1/31/1997,1536.741379
2/28/1997,1611.327586
3/31/1997,1622.724138
4/30/1997,1648.537931
5/31/1997,1802.237931
6/30/1997,1995.331034
7/31/1997,1905.424138
8/31/1997,1758.506897
9/30/1997,1659.665517
10/31/1997,1350.686207
11/30/1997,1366.475862
12/31/1997,1437.32069
1/31/1998,1536.741379
2/28/1998,1611.327586
3/31/1998,1622.724138
4/30/1998,1648.537931
5/31/1998,1802.237931
6/30/1998,1995.331034
7/31/1998,1905.424138
8/31/1998,1758.506897
9/30/1998,1659.665517
10/31/1998,1361.872222
11/30/1998,1397.022222
12/31/1998,1409.877778
1/31/1999,1441.338889
2/28/1999,1545.55
3/31/1999,1599.361111
4/30/1999,1641.111111
5/31/1999,1760.388889
6/30/1999,1915.755556
7/31/1999,1800.011111
8/31/1999,1651.894444
9/30/1999,1561.988889
10/31/1999,1361.872222
11/30/1999,1397.022222
12/31/1999,1409.877778
1/31/2000,1441.338889
2/29/2000,1545.55
3/31/2000,1599.361111
4/30/2000,1641.111111
5/31/2000,1760.388889
6/30/2000,1915.755556
7/31/2000,1800.011111
8/31/2000,1651.894444
9/30/2000,1561.988889
10/31/2000,1456.541176
11/30/2000,1461.741176
12/31/2000,1463.523529
1/31/2001,1463.182353
2/28/2001,1527.347059
3/31/2001,1576.223529
4/30/2001,1559.3
5/31/2001,1633.458824
6/30/2001,1610.5
7/31/2001,1444.570588
8/31/2001,1290.9
9/30/2001,1206.458824
10/31/2001,1456.541176
11/30/2001,1461.741176
12/31/2001,1463.523529
1/31/2002,1463.182353
2/28/2002,1527.347059
3/31/2002,1576.223529
4/30/2002,1559.3
5/31/2002,1633.458824
6/30/2002,1610.5
7/31/2002,1444.570588
8/31/2002,1290.9
9/30/2002,1206.458824
10/31/2002,1330.566667
11/30/2002,1345.006667
12/31/2002,1341.086667
1/31/2003,1345.393333
2/28/2003,1435.926667
3/31/2003,1500.02
4/30/2003,1535.153333
5/31/2003,1663.246667
6/30/2003,1757.933333
7/31/2003,1630.34
8/31/2003,1486.386667
9/30/2003,1400.713333
10/31/2003,1456.541176
11/30/2003,1461.741176
12/31/2003,1463.523529
1/31/2004,1463.182353
2/29/2004,1527.347059
3/31/2004,1576.223529
4/30/2004,1559.3
5/31/2004,1633.458824
6/30/2004,1610.5
7/31/2004,1444.570588
8/31/2004,1290.9
9/30/2004,1206.458824
10/31/2004,1350.686207
11/30/2004,1366.475862
12/31/2004,1437.32069
1/31/2005,1536.741379
2/28/2005,1611.327586
3/31/2005,1622.724138
4/30/2005,1648.537931
5/31/2005,1802.237931
6/30/2005,1995.331034
7/31/2005,1905.424138
8/31/2005,1758.506897
9/30/2005,1659.665517
10/31/2005,1350.686207
11/30/2005,1366.475862
12/31/2005,1437.32069
1/31/2006,1536.741379
2/28/2006,1611.327586
3/31/2006,1622.724138
4/30/2006,1648.537931
5/31/2006,1802.237931
6/30/2006,1995.331034
7/31/2006,1905.424138
8/31/2006,1758.506897
9/30/2006,1659.665517
10/31/2006,1088.590909
11/30/2006,1085.590909
12/31/2006,1077.554545
1/31/2007,1059.245455
2/28/2007,1079.290909
3/31/2007,1092.072727
4/30/2007,1045.872727
5/31/2007,1084.8
6/30/2007,1051.595455
7/31/2007,929.7681818
8/31/2007,816.6090909
9/30/2007,751.4909091
10/31/2007,1088.590909
11/30/2007,1085.590909
12/31/2007,1077.554545
1/31/2008,1059.245455
2/29/2008,1079.290909
3/31/2008,1092.072727
4/30/2008,1045.872727
5/31/2008,1084.8
6/30/2008,1051.595455
7/31/2008,929.7681818
8/31/2008,816.6090909
9/30/2008,751.4909091
10/31/2008,1330.566667
11/30/2008,1345.006667
12/31/2008,1341.086667
1/31/2009,1345.393333
2/28/2009,1435.926667
3/31/2009,1500.02
4/30/2009,1535.153333
5/31/2009,1663.246667
6/30/2009,1757.933333
7/31/2009,1630.34
8/31/2009,1486.386667
9/30/2009,1400.713333
10/31/2009,1361.872222
11/30/2009,1397.022222
12/31/2009,1409.877778
